
May 21, 2018 19:43:12.16 NEW SESSION
May 21, 2018 19:43:12.16 [7724:3276:0521/194312.157:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
May 21, 2018 20:07:09.19 Unable to read VR Path Registry from C:\Users\IDEBUS\AppData\Local\openvr\openvrpaths.vrpath
May 21, 2018 20:07:33.94 [8532:8676:0521/200733.936:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.00 [8532:8676:0521/200733.936:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.00 [8532:8676:0521/200733.936:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.02 [8532:8676:0521/200733.936:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.03 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.04 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.05 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.11 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.12 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.13 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.14 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.17 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.18 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.19 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.20 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.21 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
May 21, 2018 20:07:34.21 [8532:8676:0521/200733.937:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
