127.0.0.1 - - [01/Jun/2018:19:29:20 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:23 -0400] "GET /ServletJspJdbcCRUDPractice/login.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:23 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:23 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:23 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/styles.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:24 -0400] "GET /ServletJspJdbcCRUDPractice/resources/js/jquery-2.2.0.min.js HTTP/1.1" 200 85589
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:24 -0400] "GET /ServletJspJdbcCRUDPractice/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:24 -0400] "GET /ServletJspJdbcCRUDPractice/resources/js/bootstrap.js HTTP/1.1" 200 68954
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:24 -0400] "GET /ServletJspJdbcCRUDPractice/resources/image/download.png HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:24 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/styles.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:25 -0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:41 -0400] "POST /ServletJspJdbcCRUDPractice/LoginController HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:41 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/styles.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:51 -0400] "POST /ServletJspJdbcCRUDPractice/LoginController HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:29:51 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/styles.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:40:03 -0400] "GET /ServletJspJdbcCRUDPractice/userCreate.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:40:03 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/styles.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:40:03 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/me.css HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:40:03 -0400] "GET /ServletJspJdbcCRUDPractice/resources/image/logo.png HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:40:03 -0400] "GET /ServletJspJdbcCRUDPractice/resources/css/styles.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [01/Jun/2018:19:40:35 -0400] "POST /ServletJspJdbcCRUDPractice/UserController HTTP/1.1" 500 909
